Invoice;Quantity;Product;PurchasePrice (Unit);TotalAmount
FFCC141449;11086;P2075;0.0544315294244378;603.43
FFCC141492;1916;P5284;0.2705584576082768;518.39
FFCC141495;1645;P6224;0.1645403412857414;270.67
FFCC141496;2807;P6148;0.2806671088273935;787.83
FFCC141500;579;MP04209;0.468966;271.53
FFCC141501;2965;MP03122;0.1130767993461877;335.27
FFCC141501;9891;MP03121;0.1292459569274398;1278.37
FFCC141505;1026;P9025;0.5147999999999999;528.18
FFCC141505;60;P9039;0.5633788667994629;33.8
FFCC141505;239;P9039;0.5633788667994629;134.65
FFCC141505;530;P9072T;1.0911781234557367;578.32
FFCC141505;151;P9072T;1.0911781234557367;164.77
FFCC141505;180;P9129;0.6;108.0
FFCC141505;450;P9133;0.6839999999999999;307.8
FFCC141505;285;P9134;1.035919549976362;295.24
FFCC141505;120;P9134;1.035919549976362;124.31
FFCC141505;2536;P9137;1.2330076201231437;3126.91
FFCC141505;1008;P9137;1.2330076201231437;1242.87
FFCC141505;855;P9151;0.8718904261018308;745.47
FFCC141505;382;P9168;0.875954355574906;334.61
FFCC141505;233;P9168;0.875954355574906;204.1
FFCC141505;129;P9171;0.5999051259370989;77.39
FFCC141505;60;P9171;0.5999051259370989;35.99
FFCC141505;656;P9185;0.7518813166427125;493.23
FFCC141505;387;P9193;0.6089168177135346;235.65
FFCC141505;374;P9194;1.2341293900655754;461.56
FFCC141505;288;P9198;1.0344082570408013;297.91
FFCC141505;372;P9205;0.9944647832927274;369.94
FFCC141505;352;P9236T;1.0558341001940887;371.65
FFCC141505;269;P9248T;0.9426893423118292;253.58
FFCC141505;536;P9249;1.7852987514101804;956.92
FFCC141505;261;P9260;0.9855865060961037;257.24
FFCC141505;180;P9272;0.348;62.64
FFCC141505;136;P9282;0.4356303996182729;59.25
FFCC141505;120;P9291T;0.3918;47.02
FFCC141505;387;P9318T;0.4532295049157991;175.4
FFCC141505;60;P9323;0.4386;26.32
FFCC141505;273;P9350;0.9790483824822352;267.28
FFCC141505;209;P9816;0.6759830673528794;141.28
FFCC141505;73;P9187;0.4509552224746661;32.92
FFCC141505;160;P9213;0.8675147713750674;138.8
FFCC141505;299;P9259;1.0452443857862233;312.53
FFCC141505;125;P9317;0.6792539449920396;84.91
FFCC141505;698;P9357;0.814092368663262;568.24
FFCC141505;348;P9830;0.844065112194681;293.73
FFCC141505;266;P9884;1.28738171168369;342.44
FFCC141505;58697;SE91000;0.2915295087221958;17111.91
FFCC141508;5386;MP03513;0.0;0.0
FFCC141509;4611;MP07040;0.3028244825106032;1396.32
FFCC141509;3000;MP07040;0.3028244825106032;908.47
FFCC141509;2097;MP07027;0.3344154758604734;701.27
FFCC141509;1109;MP07034;0.2090110344967093;231.79
FFCC141509;835;MP07034;0.2090110344967093;174.52
FFCC141509;600;MP07047;0.12312;73.87
FFCC141509;1093;MP07045;0.286888956723598;313.57
FFCC141509;864;MP07045;0.286888956723598;247.87
FFCC141509;6302;MP07001;0.4192529026837588;2642.13
FFCC141509;19399;MP07001;0.4192529026837588;8133.09
FFCC141509;15599;MP07002;0.1270372636122774;1981.65
FFCC141509;12948;MP07002;0.1270372636122774;1644.88
FFCC141509;3284;MP07018;0.2101742265413191;690.21
FFCC141509;5100;MP07039;0.0890925411188507;454.37
FFCC141509;17141;MP07039;0.0890925411188507;1527.14
